,average,gt_person_count,image_id,matched_0.50,matched_0.55,matched_0.60,matched_0.65,matched_0.70,matched_0.75,matched_0.80,matched_0.85,matched_0.90,matched_0.95
0,0.0,2,136,0,0,0,0,0,0,0,0,0,0
1,0.775,4,192,4,4,4,4,3,3,3,3,3,0
2,0.58,5,241,3,3,3,3,3,3,3,3,3,2
3,0.325,4,257,2,2,2,2,1,1,1,1,1,0
4,0.9333333333333332,3,328,3,3,3,3,3,3,3,3,3,1
5,0.65,2,338,2,2,2,2,2,2,1,0,0,0
6,0.41111111111111115,9,395,5,5,5,4,4,4,4,4,2,0
7,0.5666666666666667,3,488,3,3,2,2,2,2,1,1,1,0
8,0.7333333333333334,3,536,3,3,3,3,2,2,2,2,1,1
9,0.45999999999999996,5,544,4,3,3,3,3,3,3,1,0,0
10,0.5,2,564,1,1,1,1,1,1,1,1,1,1
11,0.5,2,692,1,1,1,1,1,1,1,1,1,1
12,0.65,8,761,6,6,6,6,6,6,6,5,4,1
13,0.875,4,764,4,4,4,4,4,4,4,3,2,2
14,0.0,4,810,0,0,0,0,0,0,0,0,0,0
15,0.6,2,872,2,2,1,1,1,1,1,1,1,1
16,0.6666666666666666,3,885,3,3,3,3,3,2,2,1,0,0
17,0.9,2,969,2,2,2,2,2,2,2,2,1,1
18,0.475,4,974,3,3,3,2,2,2,2,1,1,0
19,0.15,2,985,1,1,1,0,0,0,0,0,0,0
20,0.2,2,999,1,1,1,1,0,0,0,0,0,0
21,0.5666666666666667,12,1000,9,9,8,8,7,7,7,6,6,1
22,0.325,8,1149,4,4,3,3,3,3,2,2,2,0
23,0.55,2,1164,2,2,2,2,2,1,0,0,0,0
24,0.575,4,1180,3,3,3,3,3,2,2,2,2,0
25,0.35,4,1268,3,3,3,2,2,1,0,0,0,0
26,0.4222222222222222,9,1270,5,5,5,5,4,4,3,3,3,1
27,0.39999999999999997,3,1290,2,2,2,2,2,1,1,0,0,0
28,0.4,2,1292,1,1,1,1,1,1,1,1,0,0
29,0.5,2,1296,1,1,1,1,1,1,1,1,1,1
30,0.3,5,1353,3,3,3,2,2,1,1,0,0,0
31,0.65,2,1436,2,2,2,2,2,2,1,0,0,0
32,0.19999999999999998,6,1554,2,2,2,1,1,1,1,1,1,0
33,0.05,2,1591,1,0,0,0,0,0,0,0,0,0
34,0.85,2,1626,2,2,2,2,2,2,2,2,1,0
35,0.375,4,1667,2,2,2,2,2,1,1,1,1,1
36,0.43333333333333335,3,1668,2,2,2,1,1,1,1,1,1,1
37,0.06666666666666667,3,1722,1,1,0,0,0,0,0,0,0,0
38,0.7,2,1757,2,2,2,2,2,1,1,1,1,0
39,0.54,5,1960,3,3,3,3,3,3,3,3,3,0
40,0.15,2,2006,2,1,0,0,0,0,0,0,0,0
41,0.54,5,2014,4,4,4,4,4,3,3,1,0,0
42,0.325,4,2153,2,2,2,1,1,1,1,1,1,1
43,0.3,2,2171,2,1,1,1,1,0,0,0,0,0
44,0.25,2,2179,1,1,1,1,1,0,0,0,0,0
45,0.23076923076923078,13,2299,7,7,5,5,4,1,1,0,0,0
46,0.55,2,2302,2,2,2,2,1,1,1,0,0,0
47,0.65,2,2473,2,2,2,2,1,1,1,1,1,0
48,0.35,2,2525,1,1,1,1,1,1,1,0,0,0
49,0.2,13,2562,5,4,3,3,3,2,2,2,1,1
50,0.3,2,2613,1,1,1,1,1,1,0,0,0,0
51,0.7000000000000001,6,2685,5,5,5,5,5,5,5,4,2,1
52,0.875,4,2867,4,4,4,4,4,4,4,3,3,1
53,0.625,4,2890,3,3,3,3,3,3,2,2,2,1
54,0.35,2,3103,1,1,1,1,1,1,1,0,0,0
55,0.0,2,3125,0,0,0,0,0,0,0,0,0,0
56,0.6,3,3209,2,2,2,2,2,2,2,2,2,0
57,0.4,2,3326,2,1,1,1,1,1,1,0,0,0
58,0.30000000000000004,9,3378,3,3,3,3,3,3,3,3,3,0
59,0.39999999999999997,6,3382,3,3,3,3,3,3,2,2,1,1
60,0.7,4,3590,4,4,3,3,3,3,3,2,2,1
61,0.58,5,3693,4,4,4,4,3,2,2,2,2,2
62,0.85,2,3837,2,2,2,2,2,2,2,2,1,0
63,0.4166666666666667,6,3934,4,4,4,4,2,2,2,2,1,0
64,0.8,2,3938,2,2,2,2,2,2,2,1,1,0
65,0.6,3,3939,2,2,2,2,2,2,2,2,1,1
66,0.36666666666666664,9,3983,5,5,5,5,5,3,2,2,1,0
67,0.7428571428571429,7,4021,7,7,7,6,6,6,6,4,2,1
68,0.85,2,4066,2,2,2,2,2,2,2,2,1,0
69,0.8,2,4069,2,2,2,2,2,2,2,2,0,0
70,0.2727272727272727,11,4134,6,5,3,3,3,3,2,2,2,1
71,0.7,2,4187,2,2,2,2,1,1,1,1,1,1
72,0.2,4,4211,1,1,1,1,1,1,1,1,0,0
73,0.5,2,4243,1,1,1,1,1,1,1,1,1,1
74,1.0,2,4246,2,2,2,2,2,2,2,2,2,2
75,0.3333333333333333,3,4266,2,2,1,1,1,1,1,1,0,0
76,0.3,3,4312,1,1,1,1,1,1,1,1,1,0
77,0.45,2,4355,2,2,2,2,1,0,0,0,0,0
78,0.2285714285714286,7,4359,2,2,2,2,2,2,1,1,1,1
79,0.7,4,4554,3,3,3,3,3,3,3,3,2,2
80,0.15,10,4576,4,4,4,2,1,0,0,0,0,0
81,0.35,2,4592,1,1,1,1,1,1,1,0,0,0
82,0.95,2,4665,2,2,2,2,2,2,2,2,2,1
